Id,Label,x,y,pixel_x,pixel_y
121,Node 121,-1043.89,381.74,996.11,947.26
122,Node 122,-989.14,463.87,1050.86,865.13
123,Node 123,-888.83,692.86,1151.17,636.14
124,Node 124,-880.84,823.45,1159.16,505.55
125,Node 125,-849.94,947.08,1190.06,381.92
126,Node 126,-801.86,1044.95,1238.14,284.05
127,Node 127,-710.85,1175.44,1329.15,153.56
128,Node 128,-1548.78,938.49,491.22,390.51
129,Node 129,-1176.18,883.54,863.82,445.46
130,Node 130,-539.15,783.96,1500.85,545.04
131,Node 131,-1155.57,1178.88,884.43,150.12
132,Node 132,-1266.04,410.33,773.96,918.67
133,Node 133,-1269.73,221.24,770.27,1107.76
134,Node 134,-1271.47,195.14,768.53,1133.86
135,Node 135,-1422.85,244.93,617.15,1084.07
136,Node 136,-1320.20,231.01,719.80,1097.99
137,Node 137,-1314.98,279.73,725.02,1049.27
138,Node 138,-1314.98,199.69,725.02,1129.31
139,Node 139,-1462.86,211.87,577.14,1117.13
140,Node 140,-1466.34,182.30,573.66,1146.70
141,Node 141,-1316.72,170.12,723.28,1158.88
142,Node 142,-1687.99,80.97,352.01,1248.03
143,Node 143,-1611.10,73.20,428.90,1255.80
144,Node 144,-1614.98,2.52,425.02,1326.48
147,Node 147,-1475.95,66.99,564.05,1262.01
148,Node 148,-1405.27,-29.32,634.73,1358.32
149,Node 149,-556.40,751.28,1483.60,577.72
150,Node 150,-461.07,671.83,1578.93,657.17
151,Node 151,-428.07,611.95,1611.93,717.05
152,Node 152,50.45,490.14,2090.45,838.86
153,Node 153,86.50,536.90,2126.50,792.10
154,Node 154,-5.08,525.21,2034.92,803.79
155,Node 155,113.78,443.37,2153.78,885.63
156,Node 156,140.09,489.16,2180.09,839.84
157,Node 157,25.12,566.13,2065.12,762.87
158,Node 158,22.20,506.70,2062.20,822.30
164,Node 164,-975.38,1094.44,1064.62,234.56
166,Node 166,-829.46,987.54,1210.54,341.46
167,Node 167,-220.10,560.06,1819.90,768.94
168,Node 168,-200.90,547.67,1839.10,781.33
169,Node 169,-139.60,508.66,1900.40,820.34
170,Node 170,-0.55,422.55,2039.45,906.45
171,Node 171,283.95,244.50,2323.95,1084.50
172,Node 172,360.29,198.86,2400.29,1130.14
173,Node 173,738.02,-36.04,2778.02,1365.04
174,Node 174,-180.33,583.54,1859.67,745.46
175,Node 175,-214.88,531.71,1825.12,797.29
176,Node 176,-1207.58,-246.42,832.42,1575.42
177,Node 177,-1163.59,-281.86,876.41,1610.86
178,Node 178,-1441.86,-357.25,598.14,1686.25
179,Node 179,-1474.85,-389.03,565.15,1718.03
180,Node 180,-1600.74,-356.03,439.26,1685.03
181,Node 181,-1510.30,-616.35,529.70,1945.35
182,Node 182,-1110.12,149.21,929.88,1179.79
183,Node 183,-1146.25,136.05,893.75,1192.95
184,Node 184,-1164.46,174.14,875.54,1154.86
185,Node 185,-1209.65,171.71,830.35,1157.29
186,Node 186,-1234.83,166.78,805.17,1162.22
187,Node 187,-1235.32,138.64,804.68,1190.36
188,Node 188,-1259.01,170.23,780.99,1158.77
189,Node 189,-1041.27,327.53,998.73,1001.47
190,Node 190,-955.97,454.44,1084.03,874.56
191,Node 191,451.23,-340.06,2491.23,1669.06
192,Node 192,661.72,-366.47,2701.72,1695.47
193,Node 193,296.80,266.65,2336.80,1062.35
194,Node 194,373.39,217.46,2413.39,1111.54
195,Node 195,348.09,177.76,2388.09,1151.24
196,Node 196,270.09,228.00,2310.09,1101.00
197,Node 197,-362.05,583.26,1677.95,745.74
198,Node 198,-397.98,529.08,1642.02,799.92
199,Node 199,-320.03,475.45,1719.97,853.55
200,Node 200,-284.65,526.32,1755.35,802.68
201,Node 201,-916.65,5.11,1123.35,1323.89
202,Node 202,-928.26,-59.58,1111.74,1388.58
203,Node 203,-962.54,-109.33,1077.46,1438.33
204,Node 204,-992.39,-121.50,1047.61,1450.50
205,Node 205,-1079.74,-110.99,960.26,1439.99
206,Node 206,-969.98,-112.02,1070.02,1441.02
209,Node 209,-858.79,-210.35,1181.21,1539.35
210,Node 210,-782.55,-180.38,1257.45,1509.38
211,Node 211,-812.52,-235.91,1227.48,1564.91
212,Node 212,-770.65,-223.13,1269.35,1552.13
213,Node 213,-712.91,-228.86,1327.09,1557.86
214,Node 214,-660.47,-254.42,1379.53,1583.42
215,Node 215,-207.13,362.33,1832.87,966.67
216,Node 216,-198.28,324.18,1841.72,1004.82
217,Node 217,-241.40,315.89,1798.60,1013.11
218,marker_14,-1462.00,-510.80,578.00,1839.80
219,market_15,-1474.18,-577.78,565.82,1906.78
220,marker_12,-1006.48,-316.77,1033.52,1645.77
221,marker_9,-1259.45,22.99,780.55,1306.01
222,marker_8,-1233.09,-36.65,806.91,1365.65
223,marker_10,-1210.21,-92.82,829.79,1421.82
224,marker_M3,9.93,249.88,2049.93,1079.12
225,marker_60,85.52,207.58,2125.52,1121.42
226,marker_57,77.12,296.21,2117.12,1032.79
227,marker_DB,155.41,236.19,2195.41,1092.81
228,marker_N8,195.42,182.25,2235.42,1146.75
229,marker_65,111.92,584.51,2151.92,744.49
230,marker_64,174.55,530.58,2214.55,798.42
231,marker_63,186.73,451.41,2226.73,877.59
232,marker_69,229.36,369.64,2269.36,959.36
233,marker_62,47.55,440.10,2087.55,888.90
234,marker_D4,-131.97,564.88,1908.03,764.12
235,marker_I3,-254.58,543.34,1785.42,785.66
236,marker_J4,-356.96,538.79,1683.04,790.21
237,marker_24,-285.42,708.48,1754.58,620.52
238,marker_23,-642.05,557.76,1397.95,771.24
239,marker_22,-548.50,346.56,1491.50,982.44
240,marker_3,-1131.22,223.61,908.78,1105.39
241,marker_37,-1063.73,133.82,976.27,1195.18
242,marker_36,-933.70,176.55,1106.30,1152.45
243,marker_35,-841.87,96.35,1198.13,1232.65
244,marker_F1,-999.29,117.81,1040.71,1211.19
245,marker_2,-1487.52,206.30,552.48,1122.70
246,marker_4,-1321.09,96.03,718.91,1232.97
247,marker_5,-1435.51,32.23,604.49,1296.77
248,marker_1,-1629.10,174.58,410.90,1154.42
249,marker_12,-1139.92,-255.03,900.08,1584.03
251,marker_17,-1215.94,-193.83,824.06,1522.83
252,marker_34,-904.41,-30.16,1135.59,1359.16
253,marker_18,-851.89,-112.53,1188.11,1441.53
254,marker_55,633.67,-336.60,2673.67,1665.60
255,marker_54,490.76,-307.09,2530.76,1636.09
256,marker_53,297.20,-507.29,2337.20,1836.29
257,marker_41,152.95,-338.72,2192.95,1667.72
258,marker_40,90.29,-206.34,2130.29,1535.34
259,marker_D1,24.18,-192.42,2064.18,1521.42
260,marker_M2,-66.24,-142.71,1973.76,1471.71
261,marker_57,429.66,50.69,2469.66,1278.31
262,marker_56,267.43,92.17,2307.43,1236.83
263,marker_59,138.02,131.18,2178.02,1197.82
264,marker_52,302.06,-77.37,2342.06,1406.37
265,marker_48,145.08,4.26,2185.08,1324.74
266,marker_42,93.11,-68.16,2133.11,1397.16
267,marker_M1,148.60,-125.68,2188.60,1454.68
268,marker_K8,225.15,-143.95,2265.15,1472.95
269,marker_D3,79.27,-113.32,2119.27,1442.32
270,marker_A11,190.56,32.15,2230.56,1296.85
271,marker_B3,199.73,60.07,2239.73,1268.93
272,marker_E2,1.42,-95.90,2041.42,1424.90
273,marker_F2,33.27,-63.28,2073.27,1392.28
274,marker_S4,-9.38,-32.39,2030.62,1361.39
275,marker_H1,-166.91,-52.94,1873.09,1381.94
276,marker_48,-68.73,-24.00,1971.27,1353.00
277,marker_49,-121.69,85.72,1918.31,1243.28
278,marker_46,-249.95,29.33,1790.05,1299.67
279,Node 279,-707.99,267.03,1332.01,1061.97
280,Node 280,-768.40,252.41,1271.60,1076.59
281,Node 281,-758.66,160.83,1281.34,1168.17
282,Node 282,-690.46,170.57,1349.54,1158.43
283,marker_D3,-732.45,227.07,1307.55,1101.93
284,marker_D4,-625.68,125.77,1414.32,1203.23
285,marker_26,-408.04,79.23,1631.96,1249.77
286,marker_27,-420.36,10.79,1619.64,1318.21
287,marker_21,-632.52,38.17,1407.48,1290.83
288,marker_B3,-711.92,23.11,1328.08,1305.89
289,marker_K5,-726.97,106.61,1313.03,1222.39
290,marker_7,-965.58,288.68,1074.42,1040.32
291,marker_K2,-841.18,198.21,1198.82,1130.79
292,marker_L5,-454.82,366.66,1585.18,962.34
293,marker_Z4(?),-544.88,467.95,1495.12,861.05
294,marker_45,-79.19,302.18,1960.81,1026.82
295,marker_25,-281.84,193.06,1758.16,1135.94
296,marker_50,-184.41,180.39,1855.59,1148.61
297,marker_44,-109.39,201.83,1930.61,1127.17
298,marker_B2,-351.02,188.19,1688.98,1140.81
299,marker_C5,-275.71,121.52,1764.29,1207.48
300,marker_A2,-276.33,91.80,1763.67,1237.20
301,marker_L4,-349.39,96.75,1690.61,1232.25
302,marker_E1,-422.46,158.67,1617.54,1170.33
303,marker_E3,-445.21,213.83,1594.79,1115.17
304,marker_N8,-278.61,246.36,1761.39,1082.64
305,marker_M5,-284.15,350.38,1755.85,978.62
306,marker_(illegible),-228.73,361.99,1811.27,967.01
307,Node 307,-891.21,576.11,1148.79,752.89
308,Node 308,-939.06,500.52,1100.94,828.48
311,Node 311,-880.81,517.86,1159.19,811.14
312,Node 312,-912.02,479.02,1127.98,849.98
313,Node 313,-839.20,614.95,1200.80,714.05
314,Node 314,-803.83,589.98,1236.17,739.02
315,Node 315,-837.82,549.76,1202.18,779.24
316,Node 316,-827.41,509.54,1212.59,819.46
317,Node 317,-778.18,481.80,1261.82,847.20
318,marker_69,-1201.75,1102.17,838.25,226.83
319,marker_68(?),-911.06,1094.97,1128.94,234.03
320,marker_J6,-800.51,906.82,1239.49,422.18
321,marker_A3,-1279.67,154.12,760.33,1174.88
322,marker_L2,-1260.39,121.46,779.61,1207.54
323,marker_A1,-1002.12,-24.18,1037.88,1353.18
324,marker_A7,-1088.20,-49.48,951.80,1378.48
325,marker_A8,-1066.77,0.06,973.23,1328.94
326,marker_A(?),-1177.08,73.06,862.92,1255.94
327,marker_29,-366.14,-432.80,1673.86,1761.80
328,marker_19,-409.64,-517.18,1630.36,1846.18
330,marker_21,-126.12,-328.62,1913.88,1657.62
331,marker_C1,-414.91,-280.28,1625.09,1609.28
332,marker_B6,-306.31,-269.42,1733.69,1598.42
333,marker_32,-187.35,-226.97,1852.65,1555.97
334,marker_F2,-281.14,-294.09,1758.86,1623.09
335,marker_G3,-354.20,-274.34,1685.80,1603.34
336,marker_B2,-473.65,-282.24,1566.35,1611.24
337,marker_B1,-268.75,-177.35,1771.25,1506.35
338,marker_M4,-478.99,-153.19,1561.01,1482.19
339,marker_M5,-477.13,-189.11,1562.87,1518.11
340,marker_A5,-548.96,-101.80,1491.04,1430.80
341,marker_38,-295.71,-134.00,1744.29,1463.00
342,marker_L1,-279.61,-87.56,1760.39,1416.56
343,marker_24,-183.57,-112.05,1856.43,1441.05
344,marker_28,-376.48,-166.61,1663.52,1495.61
345,marker_K7,-724.31,-76.00,1315.69,1405.00
346,marker_20,-483.98,-90.63,1556.02,1419.63
347,marker_J1,-442.04,-71.21,1597.96,1400.21
348,marker_H2,-394.66,-99.17,1645.34,1428.17
349,marker_H4,-395.44,-71.21,1644.56,1400.21
350,marker_M6,-396.21,-44.80,1643.79,1373.80
351,marker_B1,-310.09,-7.18,1729.91,1336.18
352,marker_I4,-248.17,-23.21,1791.83,1352.21
