Nr. Obwodu,Adres biura komisji i lokalu wyborczego,Miescowosci (ulice) wchodzace w sklad obwodu,Photo of building on this street,North,East
7,lokal Domu Pracy Katol. ul. Pomnikowa 26,Komorowska,,,
7,lokal Domu Pracy Katol. ul. Pomnikowa 27,Rolna,,,
7,lokal Domu Pracy Katol. ul. Pomnikowa 28,al. M arszałka Piłsudskiego do Bezimiennej i Limanowskiego,,,
7,lokal Domu Pracy Katol. ul. Pomnikowa 29,ul. 27 Dywizji Piechoty,,,
7,lokal Domu Pracy Katol. ul. Pomnikowa 30,Bezimienna,,,
7,lokal Domu Pracy Katol. ul. Pomnikowa 31,Pomnikowa do Wiejskiej i Gibalskiego,,,
8,lokal Sadu Grodzkiego al. Marszalka Pilsudskiego,ul. Limanowskiego,,,
8,lokal Sadu Grodzkiego al. Marszalka Pilsudskiego,Dzika,,,
8,lokal Sadu Grodzkiego al. Marszalka Pilsudskiego,Niecała,,,
8,lokal Sadu Grodzkiego al. Marszalka Pilsudskiego,Krucza,,,
8,lokal Sadu Grodzkiego al. Marszalka Pilsudskiego,al. Marszałka Piłsudskiego,,,
8,lokal Sadu Grodzkiego al. Marszalka Pilsudskiego,od Bezimiennej i Limanowskiego do końca,,,
8,lokal Sadu Grodzkiego al. Marszalka Pilsudskiego,ul. Wiejska,,,
8,lokal Sadu Grodzkiego al. Marszalka Pilsudskiego,Wygonna,,,
8,lokal Sadu Grodzkiego al. Marszalka Pilsudskiego,Cmentarna,,,
8,lokal Sadu Grodzkiego al. Marszalka Pilsudskiego,Szpitalna,," 51°12'29.10""N"," 24°43'23.20""E"
8,lokal Sadu Grodzkiego al. Marszalka Pilsudskiego,Nowowiejska,,,
8,lokal Sadu Grodzkiego al. Marszalka Pilsudskiego,Pasieczna,," 51°12'19.39""N"," 24°43'32.64""E"
8,lokal Sadu Grodzkiego al. Marszalka Pilsudskiego,Gibalskiego,,,
8,lokal Sadu Grodzkiego al. Marszalka Pilsudskiego,Podjaworska,,,
8,lokal Sadu Grodzkiego al. Marszalka Pilsudskiego,Spokojna,,,
8,lokal Sadu Grodzkiego al. Marszalka Pilsudskiego,Hoża,,,
8,lokal Sadu Grodzkiego al. Marszalka Pilsudskiego,Zaułek Kolejowy,," 51°12'10.15""N"," 24°44'1.24""E"
8,lokal Sadu Grodzkiego al. Marszalka Pilsudskiego,Południowa,," 51°12'18.19""N"," 24°43'44.05""E"
8,lokal Sadu Grodzkiego al. Marszalka Pilsudskiego,Pomnikowa od Wiejskiej i Gibalskiego do końca,,,
9,lokal szkoly powszechnej ul. Koszykowa,ul. Bielińska,," 51°13'16.50""N"," 24°43'36.73""E"
9,lokal szkoly powszechnej ul. Koszykowa,Wspólna,,,
9,lokal szkoly powszechnej ul. Koszykowa,Koszykowa,,,
9,lokal szkoly powszechnej ul. Koszykowa,Myśliwska,,,
9,lokal szkoly powszechnej ul. Koszykowa,Zgoda,,,
9,lokal szkoly powszechnej ul. Koszykowa,Kresowa,,,
9,lokal szkoly powszechnej ul. Koszykowa,Żórawia,,,
9,lokal szkoly powszechnej ul. Koszykowa,Gęsia,,,
9,lokal szkoly powszechnej ul. Koszykowa,Krakowska,,,
9,lokal szkoly powszechnej ul. Koszykowa,Nowy Świat,,,
9,lokal szkoly powszechnej ul. Koszykowa,Kolodnicka,,,
9,lokal szkoly powszechnej ul. Koszykowa,Mokra,,,
9,lokal szkoly powszechnej ul. Koszykowa,Zaułek Krótki,,,
9,lokal szkoly powszechnej ul. Koszykowa,Dąbrowskiego,,,
9,lokal szkoly powszechnej ul. Koszykowa,Północna,,,
